review,sentiment,review_cleaned,review_length
"I was looking forward to seeing Bruce Willis in this, especially since I remember being mesmerised by the original when I was young.<br /><br />This movie is a perfect example of how movie companies can take a very good story and dumb it down until it's just another formula ridden hype of the fabled American law enforcement system/army VS, (the Russians.... no sorry the cold war is over, make that WITH the Russians) VS the TERRORISTS, similar to probably 50 other movies.<br /><br />Furthermore it treats its audience like a bunch of idiots. The choice of weapon is well, plain ridiculous, are we seriously expected to believe that the world's most feared and experienced hit man/terrorist would select that for an assasination?<br /><br />The whole point of the original story was the tense dual of intellects between the ordinary detective who is given the responsibility and the professional who crafts a ruthless but elegant plan to reach his target and then get away. None of that survived. All we have is the tired old American CIA/FBI/army vs the evil terrorist plot, we've all seen 1000 times before.<br /><br />But of course the movie company's MBA's realised that a new intellectual angle here would lose them revenue from the short attention span gang, so the answer is ......Bruce Willis, BIG explosions and a crippled plot. They assume the American audience wont be able to relate to a threat to a foreign statesperson (where is France on the map afterall) so it has be an American!<br /><br />Another example of a movie defiled by the boardroom.",negative,"I was looking forward to seeing Bruce Willis in this, especially since I remember being mesmerised by the original when I was young. This movie is a perfect example of how movie companies can take a very good story and dumb it down until it's just another formula ridden hype of the fabled American law enforcement system/army VS, (the Russians.... no sorry the cold war is over, make that WITH the Russians) VS the TERRORISTS, similar to probably 50 other movies. Furthermore it treats its audience like a bunch of idiots. The choice of weapon is well, plain ridiculous, are we seriously expected to believe that the world's most feared and experienced hit man/terrorist would select that for an assasination? The whole point of the original story was the tense dual of intellects between the ordinary detective who is given the responsibility and the professional who crafts a ruthless but elegant plan to reach his target and then get away. None of that survived. All we have is the tired old American CIA/FBI/army vs the evil terrorist plot, we've all seen 1000 times before. But of course the movie company's MBA's realised that a new intellectual angle here would lose them revenue from the short attention span gang, so the answer is ......Bruce Willis, BIG explosions and a crippled plot. They assume the American audience wont be able to relate to a threat to a foreign statesperson (where is France on the map afterall) so it has be an American! Another example of a movie defiled by the boardroom.",1508
"Bugs Bunny accidentally ends up at the South Pole while trying to vacation in Florida. Where he meets a little penquin, which he tries to save from an Eskimo. This short tries and the penquin is adorable, but in the end it's a bit too light in the laughs department. The Eskimo isn't really that great of a foil for Bugs and I just seen a lot better Bugs Bunny cartoons frankly, even other shorts when he's paired with other unknown antagonists. So I can't in good conscience recommend this one. However it is nice to see it in it's uncut form. This cartoon is on Disk 3 of the ""Looney Tunes Golden Collection Volume 1"" <br /><br />My Grade: C",negative,"Bugs Bunny accidentally ends up at the South Pole while trying to vacation in Florida. Where he meets a little penquin, which he tries to save from an Eskimo. This short tries and the penquin is adorable, but in the end it's a bit too light in the laughs department. The Eskimo isn't really that great of a foil for Bugs and I just seen a lot better Bugs Bunny cartoons frankly, even other shorts when he's paired with other unknown antagonists. So I can't in good conscience recommend this one. However it is nice to see it in it's uncut form. This cartoon is on Disk 3 of the ""Looney Tunes Golden Collection Volume 1"" My Grade: C",631
"I find it difficult to comprehend what makes viewer's feel this is a powerful movie. I would guess that the main intention of this film would be a character study and the effects of racism in a British community. It is therefore all the more disappointing that all the characters are two dimensional and the acting is at the level of a college performing arts course. I'm always sceptical of ""improvisation"", another word for being too lazy to write a decent script. I was embarrassed by the performances and sat in an audience who laughed when they surely were supposed to be moved by the story. Racism is a serious issue but I think a subtle approach in cinema works far better than laying it on with trowel.",negative,"I find it difficult to comprehend what makes viewer's feel this is a powerful movie. I would guess that the main intention of this film would be a character study and the effects of racism in a British community. It is therefore all the more disappointing that all the characters are two dimensional and the acting is at the level of a college performing arts course. I'm always sceptical of ""improvisation"", another word for being too lazy to write a decent script. I was embarrassed by the performances and sat in an audience who laughed when they surely were supposed to be moved by the story. Racism is a serious issue but I think a subtle approach in cinema works far better than laying it on with trowel.",710
"It's been said several times - not least by me - that watching an Eric Rohmer film is like watching paint dry; it seems that Monsieur Rohmer resents this (he doesn't deny it, but then how could he, he just resents it) so much so that his new movie, which may also be his last, Inch Allah, is set so far back in time that it's like watching woad dry. Those wonderful people who gave you the Nouvelle Vague, Cahiers du Cinema have already named it one of the best films of 2007 so that should give you some idea. Reality is not high on Rohmer's agenda so that in 5th Century France we have at one extreme a château that would not be out of place in the Loire valley whilst the only other dwelling we see is a rude wooden hut. The story involves nymphs and shepherds and as he often does Rohmer has cast it with unknowns who just happened to be passing so that the overall effect is that the annual class play at a school for Special Needs pupils was captured on film by accident. One is almost tempted to say 'Come back Godard, all is forgiven' but even this woeful production can't make me utter those words.",negative,"It's been said several times - not least by me - that watching an Eric Rohmer film is like watching paint dry; it seems that Monsieur Rohmer resents this (he doesn't deny it, but then how could he, he just resents it) so much so that his new movie, which may also be his last, Inch Allah, is set so far back in time that it's like watching woad dry. Those wonderful people who gave you the Nouvelle Vague, Cahiers du Cinema have already named it one of the best films of 2007 so that should give you some idea. Reality is not high on Rohmer's agenda so that in 5th Century France we have at one extreme a château that would not be out of place in the Loire valley whilst the only other dwelling we see is a rude wooden hut. The story involves nymphs and shepherds and as he often does Rohmer has cast it with unknowns who just happened to be passing so that the overall effect is that the annual class play at a school for Special Needs pupils was captured on film by accident. One is almost tempted to say 'Come back Godard, all is forgiven' but even this woeful production can't make me utter those words.",1107
"New rule. Nobody is allowed to make any more Zombie movies unless they actually come up with an original idea.<br /><br />Sadly, this movie doesn't. They have the premise that Bounty hunters go out and kill Zombies and prove it by cutting off their fingers. Well, problems with that. Most people have ten fingers, why not just collect ten bounties for one Zombie? Why not just kill a regular person and pass that off as a Zombie finger? <br /><br />Not to mention the utter silliness of hunting zombies with a bolt action rifle.<br /><br />I sometimes think films like this are resume fillers for makeup and FX guys. ""Hey, this is what I did with ten dollars and some recylced bottles deposit. Imagine what I could do if you gave me a BUDGET!"" Do you think anyone goes to drama school or cinema school to star in a Zombie movie? ""I went to the School of the Arts. Check me out as the ""Tunnel Zombie"" in ""Quick and the Undead""."" His mother must be so proud.<br /><br />These had to be the wimpiest Zombies ever, as a whole crowed of them apparently couldn't push down a wooden door or even break a glass window. No, they had to wait for the bounty hunter to open the door for them...",negative,"New rule. Nobody is allowed to make any more Zombie movies unless they actually come up with an original idea. Sadly, this movie doesn't. They have the premise that Bounty hunters go out and kill Zombies and prove it by cutting off their fingers. Well, problems with that. Most people have ten fingers, why not just collect ten bounties for one Zombie? Why not just kill a regular person and pass that off as a Zombie finger? Not to mention the utter silliness of hunting zombies with a bolt action rifle. I sometimes think films like this are resume fillers for makeup and FX guys. ""Hey, this is what I did with ten dollars and some recylced bottles deposit. Imagine what I could do if you gave me a BUDGET!"" Do you think anyone goes to drama school or cinema school to star in a Zombie movie? ""I went to the School of the Arts. Check me out as the ""Tunnel Zombie"" in ""Quick and the Undead""."" His mother must be so proud. These had to be the wimpiest Zombies ever, as a whole crowed of them apparently couldn't push down a wooden door or even break a glass window. No, they had to wait for the bounty hunter to open the door for them...",1137
"All ambiguity about Michael Myers has withered away thanks to this series' chronic habit of arseholing about with its continuity and pulling relatives out of nowhere. This entry introduces the potty angle that he's not just a psycho killer but is actually controlled by runes, which appear as a star constellation every Halloween, and a cult is using him to... erm, well, this film is far from coherent and I lost track of the plot after a while. The movie hemorrhages credibility so profusely it doesn't have a drop left by the end. Why does Michael put one victim's clothes in a washing machine? Why does an otherwise empty corridor have a deadly spike sticking out of the wall? Does getting electrocuted really make your head explode? And so on. It's left to Donald Pleasence, in his penultimate film role, to produce some wonderful little moments from the pile of dreadful dialogue he's given.",negative,"All ambiguity about Michael Myers has withered away thanks to this series' chronic habit of arseholing about with its continuity and pulling relatives out of nowhere. This entry introduces the potty angle that he's not just a psycho killer but is actually controlled by runes, which appear as a star constellation every Halloween, and a cult is using him to... erm, well, this film is far from coherent and I lost track of the plot after a while. The movie hemorrhages credibility so profusely it doesn't have a drop left by the end. Why does Michael put one victim's clothes in a washing machine? Why does an otherwise empty corridor have a deadly spike sticking out of the wall? Does getting electrocuted really make your head explode? And so on. It's left to Donald Pleasence, in his penultimate film role, to produce some wonderful little moments from the pile of dreadful dialogue he's given.",897
"If I wouldn't have had any expectations of this film, it might have received a 5 or 6. As it stands, I give it a 3. The acting is poor, the factual accuracy of the drugs it discusses is lacking, and I feel no empathy whatsoever for the characters.<br /><br />I watched 'Adam & Paul' immediately before watching this film, and I both laughed and cried on several occasions. This film did not strike even a similar chord. The directors of 'Human Traffic' may have some off-hand experience of ecstasy, but there is no demonstration of actual drug-related semantic knowledge here. In fact, I find it rather offensive and contraproductive to the strife of making current drug laws less politically oriented.<br /><br />Watch 'Requiem for a Dream' if what you're looking for is an amazing, touching film about drugs.",negative,"If I wouldn't have had any expectations of this film, it might have received a 5 or 6. As it stands, I give it a 3. The acting is poor, the factual accuracy of the drugs it discusses is lacking, and I feel no empathy whatsoever for the characters. I watched 'Adam & Paul' immediately before watching this film, and I both laughed and cried on several occasions. This film did not strike even a similar chord. The directors of 'Human Traffic' may have some off-hand experience of ecstasy, but there is no demonstration of actual drug-related semantic knowledge here. In fact, I find it rather offensive and contraproductive to the strife of making current drug laws less politically oriented. Watch 'Requiem for a Dream' if what you're looking for is an amazing, touching film about drugs.",788
"Jack Brooks' quirks are, at first, somewhat charming and lend to the deliberately campy feel of the beginning of this movie.<br /><br />I found myself getting angrier and angrier as I was duped into seeing this one through to the end, in hopes that the payoff would be worth the super-tedious wait.<br /><br />The climax can't begin to make up for all the setup time.<br /><br />Normally one might expect shallow characters from this genre. But the fact that the wait-time-before-action index is so high, should mean that the meantime would be devoted to some interesting character development.<br /><br />Not so.<br /><br />While not without its initial charms, this movie ultimately infuriates, and disappoints.<br /><br />Wish I could get all that setup time back, to reinvest it into something that pays off.",negative,"Jack Brooks' quirks are, at first, somewhat charming and lend to the deliberately campy feel of the beginning of this movie. I found myself getting angrier and angrier as I was duped into seeing this one through to the end, in hopes that the payoff would be worth the super-tedious wait. The climax can't begin to make up for all the setup time. Normally one might expect shallow characters from this genre. But the fact that the wait-time-before-action index is so high, should mean that the meantime would be devoted to some interesting character development. Not so. While not without its initial charms, this movie ultimately infuriates, and disappoints. Wish I could get all that setup time back, to reinvest it into something that pays off.",746
"After all the hype I had heard about the Jane Austin novel and different film versions of the book I found myself very disappointed with the movie. I had expected a classic drama but that was not the case. First of all let me preface my review with the fact that I love old movies, particularly mysteries and dramas, but not female oriented movies. This probably makes a huge difference, so take my review with a large grain of salt. I thought the acting was a bit over the top, but that is very common in movies of this era. June Allyson was good as Jo but I found every sister to be stereotypical and form driven. There were no surprises or overly dramatic moments. I hate writing negative reviews, but the movie left me very cold. It has always been my intention to read the book, but after this that seem unlikely. The only warming story line was between the old gentlemen and the youngest sister, that was a very welcome bright spot in an otherwise disappointing viewing experience. Again there are others who love this movie, I'm just not one of them.",negative,"After all the hype I had heard about the Jane Austin novel and different film versions of the book I found myself very disappointed with the movie. I had expected a classic drama but that was not the case. First of all let me preface my review with the fact that I love old movies, particularly mysteries and dramas, but not female oriented movies. This probably makes a huge difference, so take my review with a large grain of salt. I thought the acting was a bit over the top, but that is very common in movies of this era. June Allyson was good as Jo but I found every sister to be stereotypical and form driven. There were no surprises or overly dramatic moments. I hate writing negative reviews, but the movie left me very cold. It has always been my intention to read the book, but after this that seem unlikely. The only warming story line was between the old gentlemen and the youngest sister, that was a very welcome bright spot in an otherwise disappointing viewing experience. Again there are others who love this movie, I'm just not one of them.",1057
"I did not enjoy the film Eraser whatsoever. It's awful acting, boring storyline and average special effects made this an annoying arnie film, as it had a mountain of potential. With other action films of the time Eraser fell very short!!!",negative,"I did not enjoy the film Eraser whatsoever. It's awful acting, boring storyline and average special effects made this an annoying arnie film, as it had a mountain of potential. With other action films of the time Eraser fell very short!!!",238
